//アイテム番号	// ※0番にはアイテムを設定しないで下さい。																																																		
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <腕>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <衣装>	名前	サブ説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	同時装備判別用番号																																						
// <料理>	名前	効果説明文	アイテム説明文	効果時間	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
399	■DLCアタッチ		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
400	Beast Claw	Beast Material (Rank 1/Rare)	A ferocious beast's claw$nthat slices through flesh.	0	ITEM_TYPE_R_MATERIAL	182	0	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
401	Remex	Beast Material (Rank 1/Rare)	This type of feather$nis crucial for flight.	0	ITEM_TYPE_R_MATERIAL	183	1	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
402	Strong Shell	Beast Material (Rank 1/Rare)	Crustacean carapace. Its hardness$nis unlike any found in minerals.	0	ITEM_TYPE_R_MATERIAL	184	2	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
403	Soft Fiber	Beast Material (Rank 1/Rare)	These natural beast fibers$nare both strong and durable.	0	ITEM_TYPE_R_MATERIAL	185	3	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
404	Gwaranga Pincer	Beast Material (Rank 1/Rare)	These strong pincers can$ncut through metal.	0	ITEM_TYPE_R_MATERIAL	186	4	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
405	Bullfrodon Mucus	Beast Material (Rank 1/Rare)	Sweet mucus from a frog$nthat invites heartburn.	0	ITEM_TYPE_R_MATERIAL	187	5	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
406	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
407	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
408	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
409	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
410	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
411	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
412	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
413	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
414	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
415	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
416	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
417	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
418	---	---	---	0	0	0	0	1	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
419	Digitalis Leaf	Plant Material (Rank 1/Rare)	A leaf from a rare digitalis$nplant species.	0	ITEM_TYPE_R_MATERIAL_FLOWER	188	7	1	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
420	Sword Tip Fang	Beast Material (Rank 2/Rare)	A carnivorous beast's fang$nas sharp as a sword.	0	ITEM_TYPE_R_MATERIAL	189	10	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
421	Razor Feather	Beast Material (Rank 2/Rare)	A ferocious avian plume$nable to slice through metal.	0	ITEM_TYPE_R_MATERIAL	190	11	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
422	Accursed Shell	Beast Material (Rank 2/Rare)	A shell with a distorted imprint.$nHarder than steel.	0	ITEM_TYPE_R_MATERIAL	191	12	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
423	Lustrous Scale	Beast Material (Rank 2/Rare)	A beautiful scale that shines$nwith seven colors.	0	ITEM_TYPE_R_MATERIAL	192	13	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
424	Salamandine Hide	Beast Material (Rank 2/Rare)	A rough hide from an$namphibious swamp beast.	0	ITEM_TYPE_R_MATERIAL	193	14	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
425	Zaspion Tail	Beast Material (Rank 2/Rare)	A venomous giant scorpion's tail.$nHandle with care.	0	ITEM_TYPE_R_MATERIAL	194	15	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
426	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
427	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
428	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
429	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
430	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
431	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
432	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
433	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
434	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
435	---	---	---	0	0	0	0	2	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
436	Big Pearl	Beast Material (Rank 2/Rare)	An enormous rare pearl.$nIt can sometimes be found inside big fish.	0	ITEM_TYPE_R_MATERIAL	352	95	2	1	1	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
437	Glow Rock	Mineral Material (Rank 2/Rare)	A rare rock that releases accumulated$nsunlight when inside dark areas.	0	ITEM_TYPE_R_MATERIAL_STONE	353	16	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
438	Stalactite	Mineral Material (Rank 2/Rare)	A stone made from falling$nspring water in caves.	0	ITEM_TYPE_R_MATERIAL_STONE	195	16	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
439	Lateka Resin	Plant Material (Rank 2/Rare)	A resin from the Lateka tree$nfound in small amounts.	0	ITEM_TYPE_R_MATERIAL_WOOD	196	17	2	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
440	Thunder Claw	Beast Material (Rank 3/Rare)	A claw so sharp, it rends$nflesh faster than lightning.	0	ITEM_TYPE_R_MATERIAL	197	20	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
441	Blue Feather	Beast Material (Rank 3/Rare)	A breathtaking blue feather$nthat matches the sky.	0	ITEM_TYPE_R_MATERIAL	198	21	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
442	Diamond Shell	Beast Material (Rank 3/Rare)	The shell of a beast that$nis as hard as diamond.	0	ITEM_TYPE_R_MATERIAL	199	22	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
443	Hard Fiber	Beast Material (Rank 3/Rare)	A fiber tougher than steel cable$nto pull apart.	0	ITEM_TYPE_R_MATERIAL	200	23	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
444	Vivine Bitters	Beast Material (Rank 3/Rare)	A strong liquid secreted$nby a man-eating plant.	0	ITEM_TYPE_R_MATERIAL	201	24	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
445	Essence Panzer	Beast Material (Rank 3/Rare)	A mechanical gauntlet$ncoated in Essence.	0	ITEM_TYPE_R_MATERIAL	202	25	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
446	Saurian Scale	Beast Material (Rank 3/Rare)	The scales of an ancient Saurian have$nimmeasureable archeological value.	0	ITEM_TYPE_R_MATERIAL	203	26	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
447	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
448	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
449	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
450	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
451	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
452	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
453	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
454	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
455	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
456	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
457	Moonlight Grass	Plant Material (Rank 3/Rare)	A glowing plant that can only$nbe seen at night.	0	ITEM_TYPE_R_MATERIAL_FLOWER	354	28	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
458	---	---	---	0	0	0	0	3	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
459	Rim Flower	Plant Material (Rank 3/Rare)	A flower with a healing scent.$nGrows only outdoors.	0	ITEM_TYPE_R_MATERIAL_FLOWER	204	28	3	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
460	Sunlight Fang	Beast Material (Rank 4/Rare)	A Primordial fang that glows$nlike sunlight.	0	ITEM_TYPE_R_MATERIAL	205	30	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
461	Lunar Wings	Beast Material (Rank 4/Rare)	Blends in with moonlight,$nmaking it hard to see.	0	ITEM_TYPE_R_MATERIAL	206	31	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
462	Starry Shell	Beast Material (Rank 4/Rare)	Emits a dull light similar$nto a dim star's.	0	ITEM_TYPE_R_MATERIAL	207	32	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
463	Acidic Liquid	Beast Material (Rank 4/Rare)	A powerful numbing agent.$nUsed in medicinal remedies.	0	ITEM_TYPE_R_MATERIAL	208	33	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
464	Dornicle Shell	Beast Material (Rank 4/Rare)	A giant turtle shell$nimpervious to wind and rain.	0	ITEM_TYPE_R_MATERIAL	209	34	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
465	Dandale Horn	Beast Material (Rank 4/Rare)	A broken horn. Every scratch$ndenotes a battle.	0	ITEM_TYPE_R_MATERIAL	210	35	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
466	Saurian Fang	Beast Material (Rank 4/Rare)	The fangs of Saurians are strong$nenough to bite through rock.	0	ITEM_TYPE_R_MATERIAL	211	36	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
467	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
468	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
469	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
470	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
471	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
472	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
473	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
474	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
475	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
476	Prismatic Jewel	Collectable (Rank 4/Rare)	A multicolored jewel. Its mysterious$nbeauty captivates all who see it.	0	ITEM_TYPE_R_MATERIAL_STONE	355	96	4	1	1	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
477	---	---	---	0	0	0	0	4	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
478	Dragon Crest Stone	Mineral Material (Rank 4/Rare)	An ancient stone with$na dragon carving.	0	ITEM_TYPE_R_MATERIAL_STONE	212	16	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
479	Great Tree Lumber	Plant Material (Rank 4/Rare)	High-quality lumber produced by the$nGreat Tree near the island's interior.	0	ITEM_TYPE_R_MATERIAL_WOOD	213	37	4	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
480	---	---	---	0	0	0	80	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
481	---	---	---	0	0	0	81	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
482	---	---	---	0	0	0	82	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
483	---	---	---	0	0	0	83	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
484	Underworld Bone	Beast Material (Rank 5/Rare)	A mysterious bone from$nanother dimension.	0	ITEM_TYPE_R_MATERIAL	214	84	5	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
485	Underworld Hide	Beast Material (Rank 5/Rare)	Hide with a unique texture$nfrom another world.	0	ITEM_TYPE_R_MATERIAL	215	85	5	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
486	Saurian Carapace	Beast Material (Rank 5/Rare)	Nothing is harder or more durable than$nthe natural armor of a Saurian.	0	ITEM_TYPE_R_MATERIAL	216	85	5	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
487	---	---	---	0	0	0	87	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
488	---	---	---	0	0	0	88	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
489	---	---	---	0	0	0	89	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
490	---	---	---	0	0	0	90	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
491	---	---	---		0	0	91	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
492	---	---	---	0	0	0	92	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
493	---	---	---	0	0	0	93	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
494	---	---	---	0	0	0	94	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
495	---	---	---	0	0	0	95	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
496	---	---	---	0	0	0	0	5	1	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
497	Rivera's Undying Flower	Plant Material (Rank 5/Rare)	A mysterious flower that never wilts,$nno matter the season.	0	ITEM_TYPE_R_MATERIAL_FLOWER	356	83	5	1	1	0	1	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
498	Pure Orichalcum	Mineral Material (Rank 5/Rare)	Weapons made from this dazzling ore$nare capable of slaying Primordials.	0	ITEM_TYPE_R_MATERIAL_STONE	217	98	5	1	1	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
499	Aura Grass	Plant Material (Rank 5/Rare)	A mystical plant spoken of in fairy tales.$nUsed in medicinal remedies.	0	ITEM_TYPE_R_MATERIAL_FLOWER	218	99	5	1	1	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// 回復薬	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
//	■回復アイテム		■■■■■■■■■■■■■■□■■■■■■■■■■□■■□	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
500	Heal Potion	Heal 60% HP	Drink this to heal wounds.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	219	1	1	0	1	0	0	it_pt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
501	Full Potion	Heal 100% HP	Drink this to heal grievous wounds.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	220	2	3	0	1	0	0	it_pt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
502	---		---	0	0	0	0	0	0	0	0	0	it_pt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
503	Revive Medicine	Revive/Heal 10% HP	Use this to revive a fallen ally.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	221	3	2	0	1	0	0	it_res1	1	0	0	0	0	0	0	0	0	0	0	0	0	0																								
504	Great Tree Drop	Revive/Heal 100% HP/Heal Status	The Great Tree's all-healing sap.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	222	5	4	0	1	0	0	it_res2	1	0	0	0	0	0	0	0	0	0	0	0	0	0																								
505	Moon Tears	Revive/Heal 50% HP	An effective revival medicine$nthat shines beautifully in moonlight.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	389	4	3	0	1	0	0	it_res11	1	0	0	0	0	0	0	0	0	0	0	0	0	0																								
506	Impetuous Water	EXTRA Gauge +50%	Increases the drinker's$nfighting spirit.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	223	6	3	0	1	0	0	it_extra_up1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
507	Dynastic Water	EXTRA Gauge +100%	Greatly increases the$ndrinker's fighting spirit.	0	ITEM_TYPE_USEDRUG_BOTTLE_99	224	7	4	0	1	0	0	it_extra_up2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
//↓過去編回復薬２つ																																																			
508	Medicine	Heal 60% HP	A medicine that uses Essence for enhanced$nhealing.	0	ITEM_TYPE_USEDRUG_99	392	0	2	0	0	0	0	it_old_pt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
509	Full Medicine	Heal 100% HP	A mysterious medicine that has Essence$ndissolved into it.	0	ITEM_TYPE_USEDRUG_99	393	1	4	1	0	0	0	it_old_pt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
510	Antidote	Cure Poison	A solid medicine that$nneutralizes bodily poisons.	0	ITEM_TYPE_USEDRUG_99	225	11	1	0	1	0	0	it_cure1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
511	Eyedrop	Cure Darkness	A solid medicine that$nrestores lost vision.	0	ITEM_TYPE_USEDRUG_99	226	12	1	0	1	0	0	it_cure2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
512	Antiparalytic	Cure Paralysis	A solid medicine that$nheals paralyzed nerves.	0	ITEM_TYPE_USEDRUG_99	227	13	1	0	1	0	0	it_cure3	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
513	Defrost Medicine	Cure Freeze	A solid medicine that$ncan warm a frozen body.	0	ITEM_TYPE_USEDRUG_99	228	14	2	0	1	0	0	it_cure4	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
514	Burn Medicine	Cure Burn	A solid medicine that$ncan quench a burning body.	0	ITEM_TYPE_USEDRUG_99	229	15	2	0	1	0	0	it_cure5	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
515	Hemostatic	Cure Bleeding	A solid medicine that$ncoagulates bleeding wounds.	0	ITEM_TYPE_USEDRUG_99	230	16	3	0	1	0	0	it_cure6	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
//↓過去編状態異常回復薬４つ																																																			
516	Remedy	Heal Status	A solid medicine made from various herbs.$nHeals all status conditions.	0	ITEM_TYPE_USEDRUG_99	390	16	4	0	1	0	0	it_cureall	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
517	Antiparalytic	Cure Paralysis	A solid medicine that$nheals paralyzed nerves.	0	ITEM_TYPE_USEDRUG_99	394	1	1	0	0	0	0	it_old_cure3	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
518	Burn Medicine	Cure Burn	A solid medicine that$ncan quench a burning body.	0	ITEM_TYPE_USEDRUG_99	395	1	1	0	0	0	0	it_old_cure5	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
519	Remedy	Heal Status	A solid medicine made from various herbs.$nHeals all status conditions.	0	ITEM_TYPE_USEDRUG_99	396	1	4	0	0	0	0	it_old_cureall	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
520	Sweet Remedy	EXP +100	An ancient remedy that$ngives a sweet experience.	0	ITEM_TYPE_USEDRUG_99	231	7	2	1	1	0	0	it_expup1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
521	Bitter Remedy	EXP +1000	An ancient remedy that$ngives a bitter experience.	0	ITEM_TYPE_USEDRUG_99	232	8	3	1	1	0	0	it_expup2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
522	Hermit's Remedy	EXP +10000	A remedy that gives a$nsage's level of experience.	0	ITEM_TYPE_USEDRUG_99	233	9	4	1	1	0	0	it_expup3	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
523	Power Elixir	Base STR +3	Spiritual medicine prepared$nto increase strength.	0	ITEM_TYPE_USEDRUG_99	234	17	5	1	1	0	0	it_strup	0	0	ZOKU_FINAL_DRUG	0	0	0	0	0	0	0	0	0	0	0																								
524	Defense Elixir	Base DEF +3	Spiritual medicine prepared$nto increase defense.	0	ITEM_TYPE_USEDRUG_99	235	18	5	1	1	0	0	it_defup	0	0	ZOKU_FINAL_DRUG	0	0	0	0	0	0	0	0	0	0	0																								
