キャラＩＤ	NAME	LV	LV補正	HPMIN	HPMAX	STRMIN	STRMAX	DEFMIN	DEFMAX	EXPMIN	EXPMAX	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0301	Werecus	17	0.45	72	76	54	58	25	30	12	16	1	1	1	100	100	0	2.2	0.5	0.5	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	1.25	50	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_LEATHER	100	ICON3D_MT_R1_PARTS01	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0301	109000	109000	1	Bone_root	ENTYPE_BEAST	
M0302	Badessa	30	0.45	60	65	55	60	30	35	22	26	1	1	1	50	50	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	1.25	65	0	1.25	0.95	1.05	40	40	120	180	90	32	30000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	0	1	ICON3D_MT_N2_STONE	50	ICON3D_MT_R1_PARTS01	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0302	109000	109000	1	Bone_root	ENTYPE_BEAST	
M0303	Warsadessa	33	0.85	300	302	90	95	43	48	58	62	1	1	1	1600	2400	0	1	0.1	0.1	0.1	0	0	0	0	0	0.1	1	2.5	0.5	5.6	4	0.75	2.5	500	2	3.5	1	1	50	60	120	180	999	60	60000	50	0	200	0	24	0	ICON3D_MT_R1_PARTS01	800	4	4	ICON3D_MT_R1_PARTS04	600	ICON3D_MT_R2_PARTS01	400	ICON3D_FD_MEAT_01	200	0	0	0	0	0	0	0	0	0	0	0	0	m0303	109020	109020	1	Bone_root	ENTYPE_BEAST	
																																																																																	
M0340	Popatobeet	24	0.7	182	185	102	105	70	73	14	17	1	1	1	3000	4800	0	1.75	0.1	0.1	0.1	0	0	0	0	0	0.25	1.2	3.2	0.75	7.5	4	0.75	3	300	1	3	0.95	1.05	16	48	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	2	2	ICON3D_MT_R1_PARTS04	150	ICON3D_MT_R2_PARTS01	50	ICON3D_FD_MEAT_01	200	0	0	0	0	0	0	0	0	0	0	0	0	m0340	109010	109010	1	Bone_root	ENTYPE_BEAST	
M0341	Morobadessa	23	0.45	50	55	50	55	50	55	2	4	1	1	1	100	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	1	1.25	65	0	1.25	0.95	1.05	32	34	120	180	90	24	30000	50	0	200	0	24	0	ICON3D_MT_N1_STONE	800	0	1	ICON3D_MT_N2_LEATHER	50	ICON3D_MT_N2_BONE	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0341	109000	109000	1	Bone_root	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0400	Illmodo	17	0.45	50	55	50	55	52	56	15	18	1	1	1	100	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	1	80	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_LEATHER	50	0	0	ICON3D_FD_LAND_EGG	50	0	0	0	0	0	0	0	0	0	0	0	0	m0400	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0401	Angveetle	21	0.45	40	45	35	39	70	75	43	47	0.25	0.25	0.65	200	800	2	0.8	0.1	0.1	0.1	0.15	0.02	0.04	0	0	0.1	1	1	0.5	2.6	0	0	1	35	0	1.5	0.95	1.05	24	28	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_BONE	50	0	0	ICON3D_FD_LAND_HONEY	50	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0401	109000	109000	1	Bone_upper01	ENTYPE_INSECT	
M0402	Garban	37	0.7	240	242	87	90	97	100	43	45	0.5	0.5	0.5	2400	3000	0	1	0.1	0.1	0.07	0	0	0	0	0	1	1.5	4	0.5	8.5	4	0.75	2.5	500	1	4	1	1	50	60	120	180	999	60	120000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	2	2	ICON3D_MT_N3_LEATHER	400	ICON3D_MT_N3_STONE	50	ICON3D_FD_MEAT_01	100	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0402	109020	109020	1	AtariSphere2	ENTYPE_BEAST	
M0403	Zentipede	40	0.7	110	115	80	85	60	65	39	44	1	1	1	700	900	5	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	2.1	0.5	5	4	0.75	2.2	200	1	3	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LIQUID	800	0	1	ICON3D_MT_N3_BONE	150	ICON3D_MT_R3_PARTS01	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0403	109070	109070	1	Bone_upper02	ENTYPE_INSECT	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0440	Zaspion	33	0.7	330	335	90	95	60	65	34	38	1	1	1	2000	4500	15	1	0.2	0.2	0.13	0	0	0	0	0	0.3	1	2.25	0.5	5.1	4	0.75	2	350	1	2.25	0.95	1.05	16	60	135	165	90	50	90000	50	0	200	0	24	0	ICON3D_MT_N2_LIQUID	800	4	4	ICON3D_MT_R2_PARTS03	200	ICON3D_MT_R2_PARTS06	100	ICON3D_FD_LAND_HONEY	100	0	0	0	0	0	0	0	0	0	0	0	0	m0440	109060	109060	1	Bone_Root	ENTYPE_INSECT	
M0441	Zagroon	30	0.45	25	30	50	55	50	55	22	26	1	1	1	100	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.8	4	0.75	1	40	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	0	1	ICON3D_MT_R1_PARTS01	50	0	0	ICON3D_FD_MEAT_01	50	0	0	0	0	0	0	0	0	0	0	0	0	m0441	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0442	Neydeek	31	0.45	60	65	60	65	97	102	20	24	0.3	0.7	0.5	100	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.5	4	0.75	1.25	80	0	1.75	0.95	1.05	34	34	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	0	1	ICON3D_MT_N2_LEATHER	50	ICON3D_MT_R2_PARTS04	10	ICON3D_FD_MEAT_01	50	ZOKU_WEAK_CRUSH	0	0	0	0	0	0	0	0	0	0	0	m0442	109000	109000	1	Bone_neck1	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0500	Dictyon	36	0.45	60	64	70	72	25	28	19	22	1	1	1	100	100	5	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1.3	0.65	3.5	4	0.75	2	30	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	0	1	ICON3D_MT_R1_PARTS03	100	ICON3D_MT_N3_BONE	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0500	109000	109000	1	Bone_upper01	ENTYPE_INSECT	
M0501	Fureoanton	36	0.7	122	125	80	83	41	44	38	42	0.3	0.2	0.5	800	1500	5	1	0.1	0.1	0.4	0.2	0.1	0.1	0.25	0.1	0.1	1	2.9	0.6	6.5	4	0.75	2.5	250	1	2.75	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LEATHER	800	0	1	ICON3D_MT_N3_BONE	150	ICON3D_MT_R3_PARTS02	10	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	20	0	0	0	0	0	0	0	0	m0501	109070	109070	0	Bone_root	ENTYPE_INSECT	
M0502	Jeld	36	0.45	87	90	75	78	83	86	15	18	1	0.3	0.6	100	100	0	0.75	0.1	0.1	0.4	0	0	0	0	0	0.2	1	0.75	0.5	2.1	4	0.75	1	30	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_LIQUID	800	0	1	ICON3D_MT_N3_LIQUID	50	0	0	ICON3D_FD_VG_CABBAGE	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0502	109000	109000	1	atari	ENTYPE_BEAST	
M0503	Befael	35	0.45	49	54	59	63	45	50	17	20	1	1	1	100	100	2	0.75	0.1	0.1	0.4	0	0	0	0	0	0.2	1	1	0.5	2.6	4	0.75	1.25	30	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_WOOD	800	0	1	ICON3D_MT_N3_WOOD	50	0	0	ICON3D_FD_MUSHROOM	50	0	0	0	0	0	0	0	0	0	0	0	0	m0503	109000	109000	1	Bone_root	ENTYPE_BEAST	
M0504	Gilaaf	55	0.7	150	155	90	93	66	69	51	55	1	1	1	1000	1500	2	1.5	0.25	0.1	0.2	0	0	0	0	0	0.3	1	3.3	0.5	7.5	4	0.95	2.75	200	1	2.5	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	2	2	ICON3D_MT_N4_BONE	150	0	0	ICON3D_FD_VG_CORN	50	0	0	0	0	0	0	0	0	0	0	0	0	m0504	109060	109060	1	Bone_neck1	ENTYPE_INSECT	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0600	Gricust	54	0.45	50	55	75	80	50	55	20	24	1	1	1	100	100	2	1.5	0.15	0.1	0.4	0	0	0	0	0	0.1	1	1.25	0.5	3.5	4	0.75	1.25	25	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LEATHER	800	0	1	ICON3D_MT_N4_LEATHER	50	0	0	ICON3D_FD_VG_PAPRIKA	50	0	0	0	0	0	0	0	0	0	0	0	0	m0600	109000	109000	1	Bone_root	ENTYPE_INSECT	
M0601	Gulengen	54	0.45	80	90	70	73	65	70	22	27	0.8	0.3	0.4	100	100	0	1.2	0.25	0.2	0.4	0	0	0	0	0	0.4	1	1.25	0.5	3.5	4	0.75	1	25	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_FLOWER	800	0	1	ICON3D_MT_N4_FLOWER	50	0	0	ICON3D_FD_VG_PUMPKIN	50	ZOKU_WEAK_SLASH	0	0	0	0	0	0	0	0	0	0	0	m0601	109050	109050	1	Bone_Ujaw	ENTYPE_BEAST	
M0602	Horndagh	41	0.7	130	134	87	91	72	75	50	54	1	1	1	2700	3500	0	1	0.1	0.1	0.1	0	0	0	0	0	0.3	1	3.1	0.7	7.5	2	0.75	3.2	300	1	2.5	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N3_LEATHER	800	1	1	ICON3D_MT_N3_BONE	150	ICON3D_MT_R3_PARTS04	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0602	109010	109010	1	Bone_upper02	ENTYPE_BEAST	
M0603	Frogeous	54	0.45	90	95	75	80	83	87	17	21	1	0.4	0.4	100	100	5	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1.25	0.5	3.2	4	0.75	1.25	25	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LIQUID	800	0	1	ICON3D_MT_N4_LEATHER	50	ICON3D_MT_N4_LIQUID	10	0	0	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	8	0	0	0	0	0	0	0	0	m0603	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0604	Redricora	54	0.45	50	55	60	65	50	55	19	23	1	1	1	100	100	5	1	0.25	0.1	0.2	0.1	0.05	0.05	0.25	0.1	1	1	1.25	0.5	3.2	0	0	1.1	30	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	0	1	ICON3D_MT_R2_PARTS03	50	ICON3D_MT_N4_BONE	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0604	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0605	Dandale	62	0.85	275	280	110	115	115	120	57	59	1	1	1	2400	4300	0	1.75	0.2	0.2	0.1	0	0	0	0	0	0.2	1	3	0.9	7	3	0.75	3.8	500	2	4	0.95	1.05	32	60	120	150	90	80	60000	50	0	200	0	24	0	ICON3D_MT_N4_LEATHER	800	5	5	ICON3D_MT_R3_PARTS04	400	ICON3D_MT_R4_PARTS06	100	ICON3D_FD_MEAT_03	400	0	0	0	0	0	0	0	0	0	0	0	0	m0605	109020	109020	1	Bone_upper02	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0620	Tower Boss Follower	45	0	50	50	65	65	45	45	0	0	1	1	1	100	100	0	0.75	0.1	0.1	0.4	0	0	0	0	0	0.2	1	1	0.5	3.5	4	0.75	1.25	500	0	1	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0620	109200	109200	1		ENTYPE_BEAST	
M0621	Xivega	43	0.45	85	90	60	65	50	55	25	29	1	1	1	1000	100	0	0	0	0	0.1	0	0	0	0	0	0.45	1	1	0.5	3.2	4	0.85	0.8	500	0	1.25	1	1	30	30	180	180	90	90	10000	50	0	200	0	24	0	ICON3D_MT_N2_STONE	800	0	1	ICON3D_MT_N3_STONE	50	ICON3D_MT_N4_STONE	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0621	109200	109200	1	Bone_Head	ENTYPE_BEAST	
M0622	Uni-Attacker	42	0.45	50	55	80	85	35	40	22	26	1	1	1	100	100	0	1	0.3	0.3	0.1	0	0	0	0	0	0.45	1	1.85	0.5	4.4	2	0.85	2	200	0	1.5	1	1	30	30	180	180	90	90	10000	100	0	100	0	24	0	ICON3D_MT_N2_STONE	800	0	1	ICON3D_MT_N3_STONE	50	ICON3D_MT_N4_STONE	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0622	109200	109200	1	Bone_body	ENTYPE_BEAST	
M0623	Masquard	44	0.85	252	255	83	86	102	105	69	71	0.3	0.7	0.3	2400	3000	0	1	0.3	0.3	0.1	0	0	0	0	0	0.45	1	3.3	0.5	7.5	2	0.85	2.8	500	2	4	1	1	30	30	180	180	90	90	60000	100	0	200	0	24	0	ICON3D_MT_N3_STONE	800	2	2	ICON3D_MT_N4_STONE	150	ICON3D_MT_R3_PARTS06	50	0	0	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0623	109215	109215	1	Bone_body1	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0640	Gorba	57	0.45	55	60	85	90	20	25	23	27	1	0.45	0.8	100	100	2	1	0.3	0.3	0.1	0	0	0	0	0	0.45	1	0.7	0.5	2.4	2	0.85	0.8	50	0	1	1.3	1.4	30	30	180	180	90	90	10000	100	0	100	0	24	0	ICON3D_MT_N3_LIQUID	800	0	1	ICON3D_MT_N4_LIQUID	50	ICON3D_MT_R3_PARTS03	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0640	109000	109000	1	Bone_Root	ENTYPE_INSECT	
M0641	Fabnir	58	0.45	95	100	76	80	45	50	20	23	1	1	1	300	300	0	1.2	0.3	0.3	0.1	0	0	0	0	0	0.45	1	0.8	0.5	2.3	4	0.85	1.2	40	0	1.25	1.4	1.4	60	60	180	180	90	50	10000	50	0	100	0	24	0	ICON3D_MT_N4_BONE	800	1	1	ICON3D_MT_R3_PARTS01	150	ICON3D_MT_R4_PARTS04	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0641	109100	109100	1	Bone_spine	ENTYPE_UNDEAD	
M0642	Dhampul	57	0.45	130	135	70	75	90	95	25	29	1	1	1	1000	2000	0	0	0	0	0.4	0	0	0	0	0	0.45	1	1	0.5	2.8	4	0.85	1.25	500	0	2	1.1	1.1	30	30	180	180	90	90	10000	100	0	100	0	24	0	ICON3D_MT_N4_STONE	800	1	1	ICON3D_MT_R4_STONE	100	ICON3D_MT_R4_PARTS03	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0642	109100	109100	1	Bone_head	ENTYPE_UNDEAD	
M0643	Force Garmr	59	0.85	315	318	84	87	52	56	70	73	1	1	1	3000	9000	0	1.3	0.1	0.3	0.25	0	0.01	0.02	0	0	0.5	1.25	3	0.5	6.6	3	1	4	500	2	4.5	1	1	20	50	180	180	90	50	50000	100	0	200	0	24	0	ICON3D_MT_N4_STONE	800	4	4	ICON3D_MT_R4_PARTS03	400	ICON3D_MT_R4_PARTS04	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0643	109120	109120	1	Bone_spine	ENTYPE_UNDEAD	
M0644	Vallesdominus	57	0.45	115	115	23	23	58	58	0	0	1	1	1	100	100	0	0.5	0.1	0.1	0.4	0.2	0.1	0.1	0.5	0.1	0.3	1	1.25	0.5	3.5	0	0	1.25	25	0	2	1	1	9999	9999	180	180	9999	9999	9000	50	0	200	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0644	109100	109100	1	Bone_root	ENTYPE_UNDEAD	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0660	Explosive Plant	50	0.45	35	40	40	45	45	50	50	50	1	1	1	100	100	0	1	0.1	0.1	1	0	0	0	0	0	0.1	1	1	0.5	3.5	4	0.75	0.5	10	0	1	0.95	1.05	24	28	180	180	90	30	30000	50	0	200	0	24	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0660	109000	109000	1		ENTYPE_BEAST	
M0661	Gerub	51	0.85	280	285	95	98	30	35	58	63	1	1	1	500	3000	10	0	0	0	0.4	0	0	0	0	0	0.3	1	2.5	0.5	6	4	0.95	3	500	2	3.5	0.95	1.05	30	60	180	180	90	50	30000	25	0	300	0	24	0	ICON3D_MT_N3_LEATHER	800	3	3	ICON3D_MT_N4_LIQUID	200	ICON3D_MT_R3_PARTS04	100	ICON3D_FD_VG_TOMATO	100	0	0	0	0	0	0	0	0	0	0	0	0	m0661	109070	109070	1	Bone_body02	ENTYPE_BEAST	
